Status,SSID,RSSI,MAC Address,Max RSSI
Available,eduroam,-75,20-BB-C0-4B-94-01,-74
Available,eduroam,-81,50-06-04-5B-35-31,-80
Available,eduroam,-91,20-BB-C0-4B-A2-3E,-87
Available,SDN_SCADA,-75,B8-27-EB-20-A7-65,-72
Available,eduroam,-82,50-06-04-66-93-71,-77
Available,eduroam,-84,50-06-04-66-93-7E,-80
Available,eduroam,-86,50-06-04-5B-45-BE,-84
Available,WiFi-AP,-75,8C-3B-AD-13-93-CB,-75
Connected,eduroam,-50,50-06-04-66-91-D1,-48
Available,eduroam,-59,50-06-04-66-91-DE,-59
Available,eduroam,-64,50-06-04-5B-45-E1,-62
Available,eduroam,-78,50-06-04-5B-45-EE,-71
Available,eduroam,-65,50-06-04-66-71-F1,-65
Available,eduroam,-69,50-06-04-66-71-FE,-67
Available,eduroam,-66,20-BB-C0-4B-94-01,-60
Available,eduroam,-67,20-BB-C0-4B-94-0E,-65
Available,eduroam,-92,A0-93-51-3E-6B-1E,-89
Available,SDN_SCADA,-57,B8-27-EB-20-A7-65,-52
Available,GreenHawk-5G,-63,AC-15-A2-B9-57-7E,-61
Available,GreenHawk,-53,AC-15-A2-B9-57-7F,-53
Available,eduroam,-66,20-BB-C0-4B-9E-C1,-64
Available,WiFi-AP,-56,8C-3B-AD-13-93-CB,-56
Available,eduroam,-69,20-BB-C0-4B-9E-CE,-69
Connected,eduroam,-53,50-06-04-66-91-D1,-52
Available,eduroam,-51,50-06-04-66-91-DE,-48
Available,eduroam,-88,50-06-04-5B-45-EE,-88
Available,eduroam,-77,50-06-04-66-71-F1,-73
Available,eduroam,-86,50-06-04-66-71-FE,-86
Available,eduroam,-78,20-BB-C0-4B-94-01,-69
Available,eduroam,-78,20-BB-C0-4B-94-0E,-76
Available,SDN_SCADA,-68,B8-27-EB-20-A7-65,-66
Available,GreenHawk-5G,-85,AC-15-A2-B9-57-7E,-82
Available,GreenHawk,-81,AC-15-A2-B9-57-7F,-72
Available,eduroam,-72,20-BB-C0-4B-9E-C1,-68
Available,WiFi-AP,-70,8C-3B-AD-13-93-CB,-65
Available,eduroam,-84,20-BB-C0-4B-9E-CE,-84
Connected,eduroam,-41,50-06-04-66-91-D1,-41
Available,eduroam,-43,50-06-04-66-91-DE,-34
Available,eduroam,-75,50-06-04-5B-45-E1,-69
Available,eduroam,-80,50-06-04-5B-45-EE,-80
Available,eduroam,-75,50-06-04-66-71-F1,-69
Available,eduroam,-81,50-06-04-66-71-FE,-76
