Status,SSID,RSSI,MAC Address,Max RSSI
Available,eduroam,-84,50-06-04-5B-3E-01,-84
Connected,eduroam,-43,50-06-04-5B-28-11,-42
Available,eduroam,-46,50-06-04-5B-28-1E,-40
Available,eduroam,-75,20-BB-C0-4B-9C-21,-75
Available,eduroam,-81,20-BB-C0-4B-9C-2E,-78
Available,eduroam,-80,20-BB-C0-4B-9E-31,-76
Available,eduroam,-78,50-06-04-5B-1C-61,-77
Available,eduroam,-82,50-06-04-5B-1C-6E,-79
Available,eduroam,-65,CC-16-7E-15-F2-B1,-65
Available,eduroam,-80,CC-16-7E-15-F2-BE,-80
Connected,eduroam,-45,50-06-04-5B-28-11,-45
Available,eduroam,-90,50-2F-A8-BC-70-11,-90
Available,eduroam,-41,50-06-04-5B-28-1E,-40
Available,eduroam,-83,20-BB-C0-4B-9C-21,-82
Available,eduroam,-80,20-BB-C0-4B-9E-31,-74
Available,eduroam,-74,20-BB-C0-4B-9E-3E,-74
Available,"Bureau.v,",-88,FA-8F-CA-72-C3-5B,-84
Available,eduroam,-77,F4-1F-C2-8B-A1-71,-72
Available,eduroam,-93,CC-16-7E-13-20-81,-93
Available,eduroam,-81,CC-16-7E-15-F2-B1,-80
Connected,eduroam,-38,50-06-04-5B-28-11,-38
Available,eduroam,-42,50-06-04-5B-28-1E,-38
Available,eduroam,-76,20-BB-C0-4B-9C-21,-75
Available,eduroam,-80,20-BB-C0-4B-9C-2E,-79
Available,eduroam,-77,20-BB-C0-4B-9E-31,-74
Available,eduroam,-82,20-BB-C0-4B-9E-3E,-80
Available,"Bureau.v,",-85,FA-8F-CA-72-C3-5B,-84
Available,eduroam,-84,50-06-04-5B-1C-61,-79
Available,eduroam,-82,50-06-04-5B-1C-6E,-78
Available,eduroam,-74,F4-1F-C2-8B-A1-71,-74
Available,eduroam,-75,CC-16-7E-15-F2-B1,-66
Available,eduroam,-86,CC-16-7E-15-F2-BE,-84
