Status,SSID,RSSI,MAC Address,Max RSSI
Available,eduroam,-52,50-06-04-5B-43-01,-44
Available,eduroam,-71,50-06-04-66-72-01,-71
Connected,eduroam,-46,50-06-04-5B-43-0E,-44
Available,eduroam,-85,50-06-04-66-72-0E,-85
Available,camko,-84,F8-D1-11-4A-6F-66,-82
Available,eduroam,-77,00-62-EC-B7-91-B1,-66
Available,eduroam,-70,20-BB-C0-4B-9F-B1,-66
Available,eduroam,-36,20-BB-C0-4B-A1-B1,-33
Available,eduroam,-83,00-62-EC-B7-91-BE,-78
Available,eduroam,-75,20-BB-C0-4B-9F-BE,-72
Available,eduroam,-41,20-BB-C0-4B-A1-BE,-35
Available,eduroam,-84,20-BB-C0-4B-97-C1,-80
Available,eduroam,-79,20-BB-C0-4B-97-CE,-78
Available,eduroam,-87,50-06-04-5B-45-E1,-87
Available,eduroam,-34,50-06-04-5B-43-01,-34
Connected,eduroam,-31,50-06-04-5B-43-0E,-31
Available,eduroam,-92,50-06-04-66-72-0E,-88
Available,eduroam,-68,00-62-EC-B7-91-B1,-68
Available,eduroam,-81,20-BB-C0-4B-9F-B1,-81
Available,eduroam,-45,20-BB-C0-4B-A1-B1,-45
Available,eduroam,-75,00-62-EC-B7-91-BE,-75
Available,eduroam,-79,20-BB-C0-4B-9F-BE,-79
Available,eduroam,-44,20-BB-C0-4B-A1-BE,-44
Available,eduroam,-81,20-BB-C0-4B-97-C1,-81
Available,eduroam,-42,50-06-04-5B-43-01,-42
Available,eduroam,-73,50-06-04-66-72-01,-71
Connected,eduroam,-43,50-06-04-5B-43-0E,-43
Available,eduroam,-86,50-06-04-66-72-0E,-84
Available,camko,-83,F8-D1-11-4A-6F-66,-83
Available,eduroam,-71,00-62-EC-B7-91-B1,-69
Available,eduroam,-72,20-BB-C0-4B-9F-B1,-68
Available,eduroam,-44,20-BB-C0-4B-A1-B1,-39
Available,eduroam,-69,00-62-EC-B7-91-BE,-69
Available,eduroam,-42,20-BB-C0-4B-A1-BE,-42
Available,eduroam,-80,20-BB-C0-4B-97-C1,-77
Available,eduroam,-76,20-BB-C0-4B-97-CE,-76
