Status,SSID,RSSI,MAC Address,Max RSSI
Available,eduroam,-86,20-BB-C0-4B-94-0E,-85
Available,eduroam,-84,50-06-04-66-8B-51,-84
Available,eduroam,-83,04-DA-D2-90-09-61,-81
Available,SDN_SCADA,-38,B8-27-EB-20-A7-65,-37
Available,GreenHawk-5G,-85,AC-15-A2-B9-57-7E,-81
Available,GreenHawk,-76,AC-15-A2-B9-57-7F,-75
Available,eduroam,-81,04-DA-D2-AA-5B-81,-75
Available,eduroam,-79,04-DA-D2-AA-5B-8E,-77
Available,eduroam,-37,20-BB-C0-4B-9E-C1,-36
Available,WiFi-AP,-37,8C-3B-AD-13-93-CB,-36
Available,eduroam,-44,20-BB-C0-4B-9E-CE,-39
Available,eduroam,-75,50-06-04-66-8C-D1,-75
Available,eduroam,-77,50-06-04-66-91-D1,-70
Available,eduroam,-81,50-06-04-66-91-DE,-79
Available,eduroam,-49,50-06-04-5B-45-E1,-47
Connected,eduroam,-52,50-06-04-5B-45-EE,-51
Available,SDN_SCADA,-67,B8-27-EB-20-A7-65,-65
Available,eduroam,-82,04-DA-D2-AA-5B-8E,-80
Available,eduroam,-55,20-BB-C0-4B-9E-C1,-53
Available,WiFi-AP,-69,8C-3B-AD-13-93-CB,-62
Available,eduroam,-60,20-BB-C0-4B-9E-CE,-56
Available,eduroam,-82,50-06-04-66-8C-D1,-77
Available,eduroam,-86,50-06-04-66-8C-DE,-81
Available,eduroam,-86,50-06-04-66-91-DE,-83
Available,eduroam,-40,50-06-04-5B-45-E1,-35
Connected,eduroam,-40,50-06-04-5B-45-EE,-40
Available,eduroam,-76,50-06-04-66-71-F1,-76
Available,SDN_SCADA,-57,B8-27-EB-20-A7-65,-56
Available,eduroam,-82,04-DA-D2-AA-5B-81,-81
Available,eduroam,-78,04-DA-D2-AA-5B-8E,-78
Available,eduroam,-59,20-BB-C0-4B-9E-C1,-50
Available,WiFi-AP,-56,8C-3B-AD-13-93-CB,-54
Available,eduroam,-50,20-BB-C0-4B-9E-CE,-50
Available,eduroam,-74,50-06-04-66-8C-D1,-73
Available,eduroam,-66,50-06-04-66-91-D1,-65
Available,eduroam,-75,50-06-04-66-8C-DE,-75
Available,eduroam,-74,50-06-04-66-91-DE,-71
Available,eduroam,-54,50-06-04-5B-45-E1,-40
Connected,eduroam,-57,50-06-04-5B-45-EE,-39
