Status,SSID,RSSI,MAC Address,Max RSSI
Available,eduroam,-77,50-06-04-5B-35-31,-77
Available,eduroam,-51,50-06-04-66-8B-51,-50
Available,eduroam,-49,50-06-04-66-8B-5E,-46
Available,camko,-68,F8-D1-11-4A-6F-66,-68
Connected,eduroam,-41,50-06-04-5B-1F-81,-37
Available,eduroam,-39,50-06-04-5B-1F-8E,-35
Available,eduroam,-74,20-BB-C0-4B-97-C1,-74
Available,eduroam,-79,20-BB-C0-4B-97-CE,-78
Available,eduroam,-84,50-06-04-5B-1E-D1,-78
Available,eduroam,-81,50-06-04-5B-1E-DE,-81
Available,eduroam,-86,50-06-04-5B-43-01,-86
Available,eduroam,-43,50-06-04-66-8B-51,-43
Available,eduroam,-38,50-06-04-66-8B-5E,-38
Available,camko,-80,F8-D1-11-4A-6F-66,-75
Connected,eduroam,-50,50-06-04-5B-1F-81,-50
Available,eduroam,-54,50-06-04-5B-1F-8E,-47
Available,eduroam,-78,20-BB-C0-4B-97-C1,-71
Available,eduroam,-76,20-BB-C0-4B-97-CE,-75
Available,eduroam,-81,50-06-04-5B-1E-D1,-81
Available,eduroam,-78,CC-16-7E-15-F0-D1,-78
Available,eduroam,-82,50-06-04-5B-1E-DE,-80
Available,eduroam,-79,50-06-04-5B-35-31,-79
Available,eduroam,-48,50-06-04-66-8B-51,-43
Available,eduroam,-49,50-06-04-66-8B-5E,-43
Available,camko,-76,F8-D1-11-4A-6F-66,-73
Connected,eduroam,-44,50-06-04-5B-1F-81,-41
Available,eduroam,-43,50-06-04-5B-1F-8E,-43
Available,eduroam,-65,20-BB-C0-4B-97-C1,-61
Available,eduroam,-71,20-BB-C0-4B-97-CE,-69
Available,eduroam,-77,50-06-04-5B-1E-D1,-77
Available,eduroam,-84,CC-16-7E-15-F0-D1,-84
