Status,SSID,RSSI,MAC Address,Max RSSI
Available,eduroam,-53,20-BB-C0-4B-94-01,-53
Available,eduroam,-81,20-BB-C0-4B-DB-01,-80
Available,eduroam,-54,20-BB-C0-4B-94-0E,-53
Available,eduroam,-88,50-06-04-5B-3E-21,-77
Available,eduroam,-80,20-BB-C0-4B-A2-31,-77
Available,eduroam,-77,20-BB-C0-4B-A2-3E,-69
Available,GreenHawk-5G,-74,AC-15-A2-B9-57-7E,-72
Available,GreenHawk,-70,AC-15-A2-B9-57-7F,-70
Available,eduroam,-70,50-06-04-66-91-D1,-69
Available,eduroam,-81,50-06-04-66-91-DE,-81
Available,eduroam,-43,50-06-04-66-71-F1,-43
Connected,eduroam,-48,50-06-04-66-71-FE,-41
Available,eduroam,-47,20-BB-C0-4B-94-01,-40
Available,eduroam,-38,20-BB-C0-4B-94-0E,-37
Available,SDN_SCADA,-73,B8-27-EB-20-A7-65,-71
Available,GreenHawk-5G,-56,AC-15-A2-B9-57-7E,-51
Available,GreenHawk,-52,AC-15-A2-B9-57-7F,-52
Available,eduroam,-81,20-BB-C0-4B-9E-C1,-81
Available,WiFi-AP,-74,8C-3B-AD-13-93-CB,-72
Available,eduroam,-81,50-06-04-66-91-D1,-70
Available,eduroam,-47,50-06-04-66-71-F1,-42
Connected,eduroam,-44,50-06-04-66-71-FE,-43
Available,eduroam,-54,20-BB-C0-4B-94-01,-44
Available,eduroam,-47,20-BB-C0-4B-94-0E,-47
Available,GreenHawk-5G,-64,AC-15-A2-B9-57-7E,-61
Available,eduroam,-65,50-06-04-66-91-D1,-63
Available,eduroam,-76,50-06-04-66-91-DE,-75
Available,eduroam,-36,50-06-04-66-71-F1,-31
Connected,eduroam,-42,50-06-04-66-71-FE,-42
