Status,SSID,RSSI,MAC Address,Max RSSI
Available,eduroam,-82,50-06-04-5B-3E-21,-78
Available,eduroam,-82,50-06-04-5B-3E-2E,-80
Available,eduroam,-79,50-06-04-5B-35-31,-79
Available,eduroam,-84,50-06-04-66-8B-51,-79
Available,eduroam,-82,50-06-04-66-8B-5E,-82
Available,camko,-78,F8-D1-11-4A-6F-66,-67
Available,eduroam,-73,50-06-04-5B-1F-81,-72
Available,eduroam,-77,50-06-04-5B-1F-8E,-75
Connected,eduroam,-47,50-06-04-5B-1E-D1,-47
Available,eduroam,-89,CC-16-7E-15-F0-D1,-86
Available,eduroam,-49,50-06-04-5B-1E-DE,-39
Available,eduroam,-88,50-06-04-5B-3E-21,-81
Available,eduroam,-86,50-06-04-5B-3E-2E,-82
Available,eduroam,-74,50-06-04-66-8B-51,-72
Available,eduroam,-73,50-06-04-66-8B-5E,-73
Available,camko,-81,F8-D1-11-4A-6F-66,-81
Available,eduroam,-80,50-06-04-5B-1F-81,-75
Available,eduroam,-84,50-06-04-5B-1F-8E,-84
Available,WiFi-AP,-82,8C-3B-AD-13-93-CB,-80
Connected,eduroam,-45,50-06-04-5B-1E-D1,-42
Available,eduroam,-83,CC-16-7E-15-F0-D1,-83
Available,eduroam,-42,50-06-04-5B-1E-DE,-42
Available,eduroam,-84,20-BB-C0-4B-94-01,-83
Available,eduroam,-84,50-06-04-5B-3E-21,-79
Available,eduroam,-83,50-06-04-5B-3E-2E,-80
Available,eduroam,-83,50-06-04-66-8B-51,-83
Available,eduroam,-78,50-06-04-66-8B-5E,-78
Available,eduroam,-81,50-06-04-5B-1F-81,-75
Available,eduroam,-82,50-06-04-5B-1F-8E,-77
Available,WiFi-AP,-86,8C-3B-AD-13-93-CB,-86
Connected,eduroam,-39,50-06-04-5B-1E-D1,-37
Available,eduroam,-82,CC-16-7E-15-F0-D1,-82
Available,eduroam,-38,50-06-04-5B-1E-DE,-30
Available,eduroam,-86,CC-16-7E-15-F0-DE,-86
Available,eduroam,-83,50-06-04-66-71-F1,-80
