Status,SSID,RSSI,MAC Address,Max RSSI
Available,eduroam,-79,20-BB-C0-4B-D7-21,-79
Available,eduroam,-76,20-BB-C0-4B-D7-2E,-73
Available,eduroam,-70,20-BB-C0-4B-9E-31,-70
Available,eduroam,-79,20-BB-C0-4B-9E-3E,-76
Available,eduroam,-47,20-BB-C0-4B-D5-51,-46
Connected,eduroam,-41,20-BB-C0-4B-D5-5E,-40
Available,eduroam,-61,50-06-04-5B-1C-61,-60
Available,SDN_SCADA,-89,B8-27-EB-20-A7-65,-89
Available,eduroam,-58,50-06-04-5B-1C-6E,-58
Available,eduroam,-88,50-06-04-66-93-71,-88
Available,eduroam,-86,20-BB-C0-4B-9F-81,-86
Available,eduroam,-69,20-BB-C0-4B-97-B1,-62
Available,eduroam,-62,20-BB-C0-4B-97-BE,-58
Available,eduroam,-72,50-06-04-66-91-D1,-72
Available,eduroam,-63,20-BB-C0-4B-D7-21,-63
Available,eduroam,-82,20-BB-C0-4B-A2-2E,-82
Available,eduroam,-70,20-BB-C0-4B-D7-2E,-64
Available,eduroam,-76,20-BB-C0-4B-9E-31,-69
Available,eduroam,-69,20-BB-C0-4B-9E-3E,-69
Available,eduroam,-52,20-BB-C0-4B-D5-51,-49
Connected,eduroam,-39,20-BB-C0-4B-D5-5E,-39
Available,eduroam,-70,50-06-04-5B-1C-61,-70
Available,eduroam,-75,50-06-04-5B-1C-6E,-75
Available,eduroam,-90,20-BB-C0-4B-9F-81,-90
Available,eduroam,-84,20-BB-C0-4B-97-B1,-81
Available,eduroam,-79,20-BB-C0-4B-97-BE,-78
Available,eduroam,-84,50-06-04-5B-28-11,-84
Available,eduroam,-66,20-BB-C0-4B-D7-21,-66
Available,eduroam,-83,20-BB-C0-4B-A2-2E,-83
Available,eduroam,-75,20-BB-C0-4B-D7-2E,-69
Available,eduroam,-69,20-BB-C0-4B-9E-31,-67
Available,eduroam,-68,20-BB-C0-4B-9E-3E,-68
Available,eduroam,-43,20-BB-C0-4B-D5-51,-43
Connected,eduroam,-38,20-BB-C0-4B-D5-5E,-36
Available,eduroam,-69,50-06-04-5B-1C-61,-67
Available,eduroam,-73,50-06-04-5B-1C-6E,-68
Available,eduroam,-71,20-BB-C0-4B-97-B1,-71
Available,eduroam,-72,20-BB-C0-4B-97-BE,-72
